imageName; imageInGalaxyZooTalkPages; notSureWhatThisMeans; location; anyTextDiscussingTheImage
J162539.85+204100.3_standard.jpg; http://talk.galaxyzoo.org/#/subjects/AGZ000b6ju; DECaLS;  RA: 246.41604 DEC: 20.68339; no text
J232017.56+000108.2_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000aq4r;  DECaLS;  RA: 350.07330 DEC: 0.01892; no text
J211459.41+103108.8_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000aqw0;  DECaLS;  RA: 318.74909 DEC: 10.52088; The diffraction lines coming off of the center object makes me think it's a star. So #artifact not merger. Can we get a confirmation?
J160646.85+084631.6_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000b5hu; DECaLS;  RA: 241.69527 DEC: 8.77546; #edgeon red galaxy #tidal debris #artifact (green line)
J162449.32+232117.4_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000b2ho; DECaLS;  RA: 246.20553 DEC: 23.35482 ; #spiral #barred
J085727.28+295123.8_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000b45u; DECaLS; RA: 134.36369 DEC: 29.85664; no text
J092233.67+262225.9_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000b9ts; DECaLS; RA: 140.64035 DEC: 26.37386; no text
J095746.53+025119.7_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000apmf; DECaLS; RA: 149.44392 DEC: 2.85550; #merger,elliptical and edgeon
J074908.89+180723.0_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000b6n2; DECaLS; RA: 117.28706 DEC: 18.12308; #Ring
J000939.44+030951.1_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000bejt; DECaLS; RA: 2.41440 DEC: 3.16421; no text
J154346.71+065104.5_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000b5vn; DECaLS; RA: 235.94467 DEC: 6.85127; no text
J154234.68+121223.1_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000bb76; DECaLS; RA: 235.64455 DEC: 12.20642; no text
J234215.64-003745.9_standard.jpeg; http://talk.galaxyzoo.org/#/subjects/AGZ000ao7g; DECaLS; RA: 355.56518 DEC: -0.62943; no text
1237666275283042417.jpg; http://talk.galaxyzoo.org/#/subjects/AGZ0002v2j; SDSS; RA: 39.35607 DEC: 21.10063; #NGC 0992 #UGC 02103
